processed_date,keyword,company,title,date_posted,match_score,matched_skills,gaps_in_skill,job_url,description,location,job_id
2026-04-24,data,Trangile Services,Data Scientist,,85,"Python, SQL, Machine Learning, LLM Orchestration (LangChain), RAG Implementation, Vector Databases, AI/ML Concept Communication, Data Visualization (Tableau/Power BI), Supply Chain Optimization, Fraud Detection, AML/KYC Compliance","TensorFlow, PyTorch, CNNs, LSTMs/GRUs, Google Cloud Platform (GCP), BigQuery, Vertex AI, Reinforcement Learning (RL)",https://www.linkedin.com/jobs/view/4405647804,"**Company Description** 




 Trangile Services is a global technology firm specializing in transforming operations across retail, supply chain, logistics, and healthcare domains. By synergizing robust enterprise platforms with advancements in Data \& AI, automation, and cloud technologies, we empower businesses to optimize processes and enhance customer experiences. With over 600 professionals across key global locations, including India, Singapore, the UK, the Middle East, and the USA, Trangile delivers agile and scalable solutions. Our core services range from consulting and implementation of Oracle and Infor WMS to managed services, cloud migration, and Data \& AI solutions via the Trangile AI Lab. As an ISO\-certified company, we are committed to delivering innovation, quality, and security.
 



  





**Role Description** 




 This is a full\-time remote role for a Data Scientist. The Data Scientist will analyze complex datasets, perform statistical modeling, and develop advanced machine learning models to provide insights and actionable strategies. Responsibilities include designing and implementing data solutions, creating data visualizations, and collaborating with cross\-functional teams to address business challenges. The role also involves staying up\-to\-date with the latest data science techniques and tools to enhance decision\-making processes.
 



  





 Technical Skills \&amp; Experience:
 



 o Experience: Minimum 3 year of experience in production\-
 



 level Data Science or Machine Learning.
 



 o Core Languages: Proficiency in Python and SQL is required.
 



 o Deep Learning (Traditional): Strong experience with
 



 frameworks like TensorFlow or PyTorch. Familiarity with
 



 architectures such as CNNs (for image) and LSTMs/GRUs
 



 (for time\-series/sequential data) is required.
 



 o Generative AI \&amp; NLP: Practical knowledge of Transformer
 



 architectures (BERT, GPT). Experience with LLM
 



 orchestration frameworks (e.g., LangChain, Google ADK) is
 



 highly beneficial.
 



 o Reinforcement Learning: Understanding of RL concepts for
 



 decision\-making and optimization tasks is a plus.
 



 o Cloud Platform: Experience in Google Cloud Platform
 



 (GCP) is preferred, specifically BigQuery and Vertex AI.
 



 o Data Engineering: Familiarity with Vector Databases (e.g.,
 



 pgvector, Pinecone, Milvus) for semantic search and RAG
 



 implementation.
 



 o Communication: Ability to explain complex AI/ML concepts
 



 to non\-technical stakeholders and business users.
 


* o Good command of written and spoken English and Chinese",Hong Kong,10159
2026-04-24,data,MTR Corporation Limited 香港鐵路有限公司,Marketing Officer I (Ref:2500015R),,65,"Business Analysis, Marketing Analytics, Strategic Planning, Quantitative Analysis, Data Storytelling, Business Acumen","High Speed Rail Marketing, Multi-media Advertising Campaign Execution, Putonghua Proficiency",https://www.linkedin.com/jobs/view/4400480712,"**Responsibilities**
* Develop and implement marketing plans for High Speed Rail service as well as other related areas to achieve business targets
* Execute effective advertising and promotion campaigns in multi\-media channels for both Hong Kong and the Chinese Mainland
* Explore collaborations with business partners for strategic partnership programmes
* Conduct business analysis and programme evaluation


**Requirements**
* Degree in Marketing / Business Administration or a related discipline
* A minimum of 3 years’ relevant work experience, preferably in marketing or advertising
* Excellent command of both written and spoken English and Chinese with good interpersonal and communication skills
* Proven track record in achieving business results with strong business acumen
* Ability to follow through executions in an independent and efficient manner
* Be a proactive, creative, and analytical thinker as well as a dedicated team player
* Marketing experience in the Chinese Mainland and proficiency in Putonghua are advantageous


**Applications**
 You are invited to apply online via http://www.mtr.com.hk/mtr\_job\_en or send in your CV stating the position (with reference number) you are applying for by mail to Human Resource Management Department, MTR Corporation, G.P.O. Box 9916, Hong Kong on or before
 **30 April 2026** 
 .
   

  

 For other job openings, please visit MTR Corporation's website for more details. All information provided by applicants will be treated in strict confidence and used for recruitment purpose only.
   

  

 All personal data of unsuccessful applicants will be retained for 12 months for future recruitment purpose and will then be destroyed.
   

  

**Schedule**
 Full\-time
   

  

**Job Posting**
 17/Apr/26, 11:01:32 AM
   

  

**Closing Date**
 30/Apr/26, 11:59:00 PM",Hong Kong,10161
2026-04-24,data,Man Group,"Quantitative Developer, Intern",,85,"Python, NumPy, pandas, SQL, scikit-learn, LangChain, PySpark, ML/DL frameworks, LLM-related tooling, data pipelines, data quality analysis, factor modeling, quantitative analysis","Linux platforms/shell scripting, PyTorch, TensorFlow, optimisation/performance profiling (advanced), CI/CD, factor modeling (theoretical knowledge)",https://www.linkedin.com/jobs/view/4405630288,"**About Man Group**
 Man Group is a global alternative investment management firm focused on pursuing outperformance for sophisticated clients via our Systematic, Discretionary and Solutions offerings. Powered by talent and advanced technology, our single and multi\-manager investment strategies are underpinned by deep research and span public and private markets, across all major asset classes, with a significant focus on alternatives. Man Group takes a partnership approach to working with clients, establishing deep connections and creating tailored solutions to meet their investment goals and those of the millions of retirees and savers they represent.
   

  

 Headquartered in London, we manage $227\.6 billion\* and operate across multiple offices globally. Man Group plc is listed on the London Stock Exchange under the ticker EMG.LN and is a constituent of the FTSE 250 Index. Further information can be found at www.man.com
   

  

* As at 31 December 2025


**Job Profile Summary**
 The Quantitative Portfolio Management Analyst role spans a broad spectrum of research, investment, and technical tasks. The successful candidate for this highly competitive position will work closely with a team of Portfolio Managers and other talented Portfolio Analysts to implement the required investment strategies. This involves both validating the inputs to our models as well as the output from the quantitative signals used to make ""buy/sell"" decisions. The Quantitative Portfolio Management Analyst t will also monitor portfolio risk and country/sector exposures, analyse portfolio returns, and conduct analysis for client communications. ln addition to the day\-to\-day implementation of the business’ strategies, successful candidates will have the opportunity to contribute to research projects in conjunction with the central research team.
   

  

**Responsibilities**
* Work with Portfolio Managers to validate the inputs and outputs of our investment signals and assist with the day to day management of the portfolio
* Analyse the output of our portfolio construction process to ensure the integrity of our investment philosophy
* Work with large data sets and liaise with outside data vendors to identify data quality issues
* Design tools for evaluating portfolio implementation and performance
* Assist research teams with enhancing existing signals and creating new signals
* Conduct analysis for client communication and presentations


**Key Skills \& Requirements**
* Core Technical
+ Strong Python proficiency — you'll refactor research code into robust, tested production pipelines daily
+ Awareness of performance and optimisation — profiling, memory management, and computational efficiency when scaling research code across large universes
+ Solid software engineering practices: version control, unit testing, code review, CI/CD, and refactoring — you care about code quality, not just code that works
+ Comfortable on Linux platforms with working knowledge of shell scripting
+ Experience with data analysis libraries (NumPy, SciPy, pandas) and handling large datasets
+ Familiarity with databases and data infrastructure (SQL, data pipelines, or tools like ArcticDB)
+ Exposure to ML/DL frameworks (PyTorch, TensorFlow, scikit\-learn) or LLM\-related tooling

* Research \& Domain
+ Relevant mathematical knowledge — statistics, optimisation, or factor modeling — enough to understand the research you're productionising
+ A keen interest in financial markets and how quantitative strategies are built and deployed

* Nice\-to\-Haves
+ Prior internship in quantitative development, systematic investing, or front\-office technology

* Education
+ Currently enrolled at a top\-tier university in Computer Science, Software Engineering, Mathematics, Physics, or a related field with strong computational content


**Inclusion, Work\-Life Balance And Benefits At Man Group**
 You'll thrive in our working environment that champions equality of opportunity. Your unique perspective will contribute to our success, joining a workplace where inclusion is fundamental and deeply embedded in our culture and values. Through our external and internal initiatives, partnerships and programmes, you'll find opportunities to grow, develop your talents, and help foster an inclusive environment for all across our firm and industry. Learn more at www.man.com/diversity.
   

  

 You'll have opportunities to make a difference through our charitable and global initiatives, while advancing your career through professional development, and with flexible working arrangements available too. Like all our people, you'll receive two annual 'Mankind' days of paid leave for community volunteering.
   

  

 Our comprehensive benefits package includes competitive holiday entitlements, pension/401k, life and long\-term disability coverage, group sick pay, enhanced parental leave and long\-service leave. Depending on your location, you may also enjoy additional benefits such as private medical coverage, discounted gym membership options and pet insurance.
   

  

**Equal Employment Opportunity Policy**
 Man Group provides equal employment opportunities to all applicants and all employees without regard to race, color, creed, national origin, ancestry, religion, disability, sex, gender identity and expression, marital status, sexual orientation, military or veteran status, age or any other legally protected category or status in accordance with applicable federal, state and local laws.
   

  

 Man Group is a Disability Confident Committed employer; if you require help or information on reasonable adjustments as you apply for roles with us, please contact TalentAcquisition@man.com.",Hong Kong,10168
2026-04-24,data,Corporación Custer,Consulting Analyst / Research Consultant,,85,"Market analysis, Data interpretation, Research methodologies, Data visualization, Business Intelligence, Problem-solving, Communication skills, Project management, SQLAlchemy, Microsoft Suite","Specific domain experience in consulting/advisory (though experience is transferable), Formal experience with specific statistical analysis tools (beyond general Python/ML)",https://www.linkedin.com/jobs/view/4403267674,"**Role Description** 




 This is a part\-time hybrid role based in Hong Kong SAR, with opportunities to work both on\-site and remotely. The Consulting Analyst / Research Consultant will conduct comprehensive market research, analyze data to identify insights, and prepare detailed reports and presentations for clients. Additional responsibilities include collaborating with cross\-functional teams to support strategic decision\-making, designing research methodologies, and maintaining high standards of data accuracy. The role demands critical thinking, problem\-solving abilities, and strong communication skills to effectively deliver actionable recommendations.
 



  





**Qualifications** 



* Proficiency in market analysis, data interpretation, and research methodologies
* Strong written and verbal communication skills to articulate findings and recommendations
* Project management and teamwork capabilities with attention to detail
* Experience with data visualization tools and methods
* Ability to work independently and in a hybrid work environment
* Bachelor's degree in Business, Economics, Social Sciences, or a related field
* Proficiency in relevant software (e.g., Microsoft Office Suite, statistical analysis tools)
* Prior consulting or research experience is an advantage",Hong Kong,10170
2026-04-24,data,English Schools Foundation,Expressions of Interest Educational Assistant - All ESF Primary Schools,,0,,"Educational support/assistance, Primary school environment experience, Classroom administrative support",https://www.linkedin.com/jobs/view/4384854106,"Trending
   

  

**Job Description**
**Current Live Openings:**
 We are now recruiting Educational Assistants for Primary Schools for August 2025\. Please apply through these job advertisements to express your interest.
   

  

 Alternatively, you may explore our current openings for Educational Assistants at Primary Schools by clicking here:
 **Live Current Openings** 
 .
   

  

**Brief Job Overview**
 As an Educational Assistant at one of our primary schools, you will be tasked with assisting teachers deliver a world class education to our students. You will assist students who require extra support in and out of the classroom, as well as help teachers with administrative tasks. Furthermore, you will have the opportunity to engage with students on a regular basis and support them in the development of their social skills. You will play a crucial part in the holistic development of students as they complete their primary education.
   

  

 To view the written job description for this position, please click
 **HERE** 
 to download a PDF copy.
   

  

**General Requirements**
 At least 2 years GCSE (pass A\-C) or equivalent in Maths and English and at least level 2 of the English national qualifications framework
   

  

**Application Process**
 Relevant experiences in schools is preferred but not essential
   

  

**Applicants Have Two Options**
 Express your interest in this job category across all schools by clicking “
 **Apply Now** 
 ” below.
   

  

 Apply to a specific school opening via Live Current Openings.
   

  

 Thank you for considering our schools as your employer choice. We look forward to reviewing your application!
   

  

**Note: This is an Expressions of Interest role, meaning you are indicating your interest in the position for the following academic year (25/26\), and there may not be any immediate vacancies available.**
 For enquiries, please contact Karen Ng at karen.ng@esfcentre.edu.hk.
   

  

*Applications will be reviewed on a rolling basis and offers may be extended prior to the job closing date.*
*By applying for this position, your application may be considered for other opportunities (senior\-level roles, head of department, etc.) within ESF.*
*ESF is an Equal Opportunities Employer*
*The English Schools Foundation (ESF) is fully committed to providing equal employment opportunities. ESF will not discriminate on the basis of age, race, colour, gender, marital status, sexual orientation, gender identity, pregnancy, national origin, religion, veteran status, physical or mental disability, genetic information, creed, citizenship or any other status protected by local laws or regulations.*
*Personal data provided by job applicants will be used strictly in accordance with the ESF's Personal Data Policy, a copy of which will be provided upon request.*
*ESF is dedicated to ensuring the safety and well\-being of all students in our care and expects all applicants to uphold this commitment. We adhere to rigorous recruitment practices, with all appointments contingent upon an interview, identity verification, criminal background checks (including ICPC, SCRC, and other international background checks as appropriate), assessment of social media presence, and positive references.*
*In accordance with the Keeping Children Safe in Education (KCSIE) 2025 guidelines, ESF may perform online checks for all shortlisted candidates prior to the interview.*
*PrimaryEducationalAssistant*
*EducationalAssistance*
**About The Team**
 The English Schools Foundation (ESF) is a modern, well\-managed educational organisation, committed to offering an international education to students drawn from over 70 countries. We are proud to be at the forefront of the educational hub in Hong Kong. We actively take advantage of the opportunities that Hong Kong offers as Asia’s world city and the principal gate\-way to China.
   

  

 The curriculum, leading to the International Baccalaureate, is adapted to Hong Kong, and the Asia Pacific region. ESF’s 1,100 teachers are highly qualified bringing with them experience from Australia, Canada, New Zealand, the United States, the UK and many other international school systems. All schools offer a broad range of out\-of\-school activities in Hong Kong and overseas.
   

  

 ESF has over 18,000 students. Our culture is one of joy in learning and pride in achievement. The great majority of our students study for the IB Diploma and gain entry to universities all over the world. ESF has a long\-standing commitment to children with individual needs and is the principal provider for English\-speaking children with special educational needs in Hong Kong. For further details about ESF, please visit our website at http://www.esf.edu.hk/.
   

  

 http://www.esf.edu.hk
   

  

 Job Info
   

  

* Job Identification 3359
* Posting Date 03/12/2026, 09:08 AM
* Apply Before 06/26/2026, 07:00 AM
* Degree Level Any Level
* Job Schedule Full time
* Locations Hong Kong",Hong Kong,10171
2026-04-24,fintech,Franklin Templeton,Intern,,75,"Financial Modeling, Data Analysis, Data Gathering and Analysis, Analytical Skills, Report Generation, Process Optimization, Programming (Python, SQL), Business Intelligence (Tableau/Power BI)","Equity Fundamental Research, Buy-Side Research, Asset Management Lifecycle Experience",https://www.linkedin.com/jobs/view/4393015597,"At Franklin Templeton, we’re advancing our industry forward by developing new and innovative ways to help our clients achieve their investment goals. Our dynamic and diversified firm spans asset management, wealth management, and fintech, offering many ways to help investors make progress toward their goals. Our talented teams working around the globe bring expertise that’s both broad and unique. From our welcoming, inclusive, and flexible culture to our global and diverse business, we provide opportunities to help you reach your potential while helping our clients reach theirs.
   

  

**Come join us in delivering better outcomes for our clients around the world!**
 We are looking for an
 **Intern** 
 to join the team in Hong Kong.
   

  

 The Templeton Global Investments team in Hong Kong is responsible for managing equity investments across Asia Pacific markets. This team leverages local expertise and global resources to identify high\-potential opportunities, focusing on delivering long\-term growth for clients. Our diverse portfolio management approach combines in\-depth research, risk management, and a deep understanding of market dynamics in the Asia Pacific region.
   

  

**How will you add value?**
* Participate in equity fundamental research, including investment idea screening
* Conduct company and industry research
* Build and maintain financial models
* Assist in marketing materials preparation
* Perform fund\-level analysis
* Work on projects for automating certain workflows
* Conduct data gathering and analysis
* Provide day\-to\-day ad\-hoc support to the team


**What will help you be successful in this role?**
**Education \& Certifications**
* University students pursing relevant degree
* Seeking an internship in buy\-side equity research


**Soft Skills**
* Strong verbal and written communication and presentation skills
* Solid analytical skills and attention to detail
* Willingness to learn
* A self\-starter with strong sense of responsibility


**Motivation \& Interest**
* Keen interest in building a career in asset management


********Experience our welcoming culture and reach your professional and personal potential!********
 Our culture is shaped by our diverse global workforce and strongly held core values. Regardless of your interests, lifestyle, or background, there’s a place for you at Franklin Templeton. We provide employees with the tools, resources, and learning opportunities to help them excel in their career and personal life.
   

  

 Hear more from our employees
   

  

 By joining us, you will become part of a culture that focuses on employee well\-being and provides multidimensional support for a positive and healthy lifestyle. We understand that benefits are at the core of employee well\-being and may vary depending on individual needs. Whether you need support for maintaining your physical and mental health, saving for life’s adventures, taking care of your family members, or making a positive impact in your community, we aim to have them covered
   

  

 Learn more about the wide range of benefits we offer at Franklin Templeton
   

  

 Franklin Templeton is an Equal Opportunity Employer. We are committed to providing equal employment opportunities to all applicants and existing employees, and we evaluate qualified applicants without regard to ancestry, age, color, disability, genetic information, gender, gender identity, or gender expression, marital status, medical condition, military or veteran status, national origin, race, religion, sex, sexual orientation, and any other basis protected by federal, state, or local law, ordinance, or regulation.
   

  

 Franklin Templeton is committed to fostering a diverse and inclusive environment. If you believe that you need an accommodation or adjustment to search for or apply for one of our positions, please send an email to accommodations@franklintempleton.com. In your email, please include the accommodation or adjustment you are requesting, the job title, and the job number you are applying for. It may take up to three business days to receive a response to your request. Please note that only accommodation requests will receive a response.",Hong Kong,10172
2026-04-24,fintech,Wonder,Customer Support Specialist,,65,"Python, English, Chinese, Cantonese, Fintech, Customer Support, Business Analyst","B2B Customer Care/Support, Operational Workflow Management, Internal Stakeholder Management (for service resolution)",https://www.linkedin.com/jobs/view/4404735913,"**About Wonder** 




 Wonder is a leading payments gateway and FinTech platform for merchants in Hong Kong and Asia Pacific, enabling any merchant to get paid effortlessly.
 



  





 Currently, Wonder is Hong Kong’s first fully digital all\-in\-one payments gateway platform where any merchant can self\-KYC online in minutes, open an account, collect payments and manage transactions all from a single mobile app. Core products include the Wonder App (Mobile App), Wonder Smart Terminal (O2O Payments), Wonder Card (Custom Card) and Wonder Portal (Desktop Dashboard). For selected merchants, Wonder also offers instant payments settlement (T\+0\), also one of the first in Hong Kong. As of today, Wonder is growing exponentially month\-on\-month and is well\-positioned to become the no.1 payments gateway platform in Hong Kong.
 



  





 Headquartered in Hong Kong, Bindo Labs raised its USD 6MM series A funding round in 2021 led by Hong Kong Telecom (HKT) / Pacific Century Group. Bindo Labs has offices across Mainland China and Asia Pacific, including Shenzhen, Changsha and Singapore.
 



  
 



  
 



  





**What You Will Do:** 




  




* Provide comprehensive support for daily operations and customer services in different channels in efficient and professional manner.
* Handle customer enquiries with cooperating with internal parties to resolve issues, with professionalism and empathy in all interactions.
* Maintain accurate records of customer interactions, process customer accounts, and file documents.



  
 



  





**What We Are Looking For:** 




  




* Experience in a customer care/support or sales role within a B2B environment; fintech, software, or payments industries is a plus.
* Customer\-oriented, self\-motivated, detail\-minded, and positive thinking.
* Good interpersonal and communication skills, and a good team player.
* Proficient in both spoken and written English and Chinese (Mandarin and Cantonese), including Chinese word processing and native Cantonese speaker.
* 5\-day work with shift duty, to ensure consistent service coverage and operational continuity.



  





  





**What We Offer:** 




  




* Competitive base package
* Opportunity to take full ownership of a vertical
* Flat and open work culture
* International team environment
* Group medical insurance
* Birthday leave



  





  





 At Bindo Labs / Wonder, we value passion, ideas and meritocracy. So if you believe you can make a difference and disrupt the FinTech space in Asia Pacific, back yourself and be part of this remarkable journey.",Hong Kong,10173
2026-04-24,fintech,RedotPay,Executive Assistant,,20,"Microsoft Office Suite, Communication, Attention to Detail","Executive Assistant, Calendar Management, Travel Coordination, Handling Confidential Information",https://www.linkedin.com/jobs/view/4405623984,"**About RedotPay** 




 RedotPay is a global crypto payment fintech integrating blockchain solutions into traditional banking and finance infrastructure. Our user\-friendly crypto platform empowers millions globally to spend and send crypto assets, ensuring faster, more accessible, and inclusive financial services. RedotPay advances financial inclusion for the unbanked and supports crypto enthusiasts, driving the global adoption of secure and flexible crypto\-powered financial solutions. Join us in shaping the future of finance and making a meaningful impact on a global scale.
 



  





**Position Summary** 




 We are seeking a highly organized, proactive, and adaptable Executive Assistant. In this role, you will be more than just a scheduler; you will act as a strategic partner and gatekeeper, ensuring the executive’s time is focused on the highest\-priority initiatives. You will manage the chaos of a busy office, handle sensitive information with discretion, and act as a key liaison between the executive and internal/external stakeholders.
 



  





**Key Responsibilities** 




**Administrative \& Calendar Management** 



* Proactively manage a complex and dynamic calendar, prioritizing appointments, resolving conflicts, and ensuring the executive’s time is aligned with business goals.
* Coordinate all logistics for internal and external meetings, including room bookings, agenda preparation, technology setup (Zoom, Teams, etc.), and catering.
* Serve as the primary point of contact for the executive’s office, screening calls and emails with professionalism and discretion.



**Communication \& Correspondence** 



* Manage a high\-volume inbox: triage emails, draft responses on behalf of the executive, and flag critical items requiring immediate attention.
* Prepare, proofread, and edit correspondence, communications, presentations, and other documents.
* Draft and distribute internal communications, memos, and meeting agendas.



**Travel \& Expense Management** 



* Arrange complex domestic and international travel itineraries, including flights, accommodations, ground transportation, and visas.
* Prepare detailed travel packets and ensure the executive is prepared for all trip\-related engagements.
* Prepare and submit accurate and timely expense reports, ensuring adherence to company policy.



**Meeting \& Project Support** 



* Attend key meetings to take minutes, track action items, and follow up with stakeholders to ensure deadlines are met.
* Assist with the planning and execution of company events, all\-hands meetings, and board meetings.



**Relationship Management \& Gatekeeping** 



* Build and maintain trusting relationships with internal teams, board members, investors, and key clients.
* Act as a gatekeeper, using sound judgment to decide when to involve the executive and when to handle matters independently.



  





**Qualifications:** 



* **Experience:** 
 3\+ years of experience as an Executive Assistant supporting C\-level executives or senior leadership.
* **Technical Proficiency:** 
 Advanced proficiency in Microsoft Office Suite (Outlook, Word, Excel, PowerPoint) and/or Google Workspace. Experience with collaboration tools like Zoom.
* **Communication:** 
 Exceptional written and verbal communication skills; ability to interact professionally with all levels of an organization and external partners.
* **Organization:** 
 Unwavering attention to detail and the ability to juggle multiple priorities in a fast\-paced environment.
* **Discretion:** 
 Proven ability to handle highly confidential information with tact and integrity.",Hong Kong,10174
2026-04-24,fintech,KPay Group,Assistant Growth Specialist,,65,"Business Analysis, Market Research, Financial Modeling, Product Adoption/Consultation, Data Analysis, SQLAlchemy","Solid sales experience (1+ year), Experience selling POS/Payment solutions, Handling full sales cycle (quotations, contract signing), Active business development/prospecting",https://www.linkedin.com/jobs/view/4400815632,"**About Us**
 KPay is a leading fintech company dedicated to empowering local merchants with innovative payment solutions. Our proprietary POS products integrate advanced technology with a user\-friendly interface, helping businesses streamline their payment processes and enhance customer experiences. As a member of our KConnect sales team, you will focus on promoting and selling KPay’s POS solutions, playing a vital role in merchants’ digital transformation journeys.
   

  

**Job Descriptions**
* Proactively approach and develop new clients by promoting and selling KPay's POS products.
* Understand merchants' needs and provide suitable product advice and recommendations.
* Conduct product demonstrations, handle merchant inquiries and assist merchants with onboarding and POS installation.
* Manage the full sales process, including preparing quotations, contract signing and providing after\-sales support to ensure customer satisfaction.
* Collect and share market and merchant feedback to help improve our products and services.
* Work closely with team members to handle cases and achieve team sales targets.


**Requirements**
* At least 1 year of solid sales experience, preferably in POS, payment solutions, SaaS or related industries.
* Experience in developing new businesses and maintaining customer relationships.
* Good communication, negotiation and presentation skills.
* Fluent in Cantonese is a must.",Hong Kong,10175
2026-04-24,fintech,HKT,"Officer, Financial Crime Operations",,85,"AML compliance, Know-Your-Customer (KYC), Fraud Detection, Risk Profiling, Data Governance, Process Optimization, Analytical Skills, Financial Modeling","Hands-on experience with specific name screening or transaction monitoring systems, Knowledge of HKMA/AMLO specific guidelines (implied practical familiarity), Experience with CAMS or CAMLP certifications",https://www.linkedin.com/jobs/view/4404744216,"**The role** 



* Perform Customer Due Diligence (CDD), Know\-Your\-Customer (KYC), and onboarding reviews for individual and merchant customers, including higher\-risk cases, in accordance with internal AML policies and regulatory requirements
* Conduct name screening and sanctions screening using designated screening systems; analyze and resolve alerts in a timely and accurate manner
* Support transaction monitoring activities, including investigation and escalation of suspicious transaction. where appropriate
* Assist in ongoing customer due diligence and periodic reviews to ensure customer risk profiles remain up\-to\-date
* Support responses to regulatory inquiries, audits, and ad\-hoc information requests from regulators and law enforcement agencies (e.g. HKMA, Companies Registry, Police)
* Maintain proper documentation, case records, and audit trails in line with internal controls and regulatory expectations
* Handle daily case administration, monitoring queues, and workflow management within the Financial Crime Operations team
* Provide support on ad\-hoc AML projects, process enhancements, system implementations, or policy reviews as assigned







**To succeed to this role** 



* Bachelor’s degree in Business Administration, Accounting, Finance, Law, Risk Management, or related disciplines
* 3 years\+ of relevant experience in financial services, preferably in AML compliance, KYC/CDD, transaction monitoring, or risk management
* Hands\-on experience with name screening or transaction monitoring systems is preferred
* Familiarity with Hong Kong AML regulations and regulatory expectations (e.g. AMLO, SEC and HKMA guidelines) is an advantage
* Exposure to or knowledge of digital assets, virtual assets, fintech, or e\-commerce business models; Holder of CAMS or CAMLP is a plus
* Strong documentation, analytical, and investigative skills
* Proficient in MS Office applications (Word, Excel, PowerPoint)
* Good command of written and spoken English and Chinese; proficiency in Putonghua is an advantage



  





 All personal data provided by candidates will be used for recruitment purposes only by HKT Services Limited in accordance with HKT's Privacy Statement, which is available on our website. Unless otherwise instructed in writing, candidates may be considered for other suitable positions within the Group (being, HKT Limited, PCCW Limited and their respective subsidiaries, affiliates and associated companies). Personal data of unsuccessful candidates will normally be destroyed 24 months after rejection of the candidate's application. If you have any questions regarding your personal data held by HKT Services Limited HKT’s Privacy Statement, please feel free to contact our Privacy Compliance Officer by writing to
 
 privacy@pccw.com
 
 or GPO Box 9896, Hong Kong.",Hong Kong,10176
